"filename", "language", "TypeScript", "TypeScript JSX", "HTML", "PostCSS", "Python", "JSON", "Markdown", "pip requirements", "JavaScript", "MS SQL", "PHP", "JSON with Comments", "comment", "blank", "total"
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.claude/settings.local.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.65/assets/index-BYIve8M2.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.65/assets/index-CpYElXdn.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 645, 0, 0, 0, 6, 57, 708
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.65/index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.66/assets/index-BYIve8M2.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.66/assets/index-CpYElXdn.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 645, 0, 0, 0, 6, 57, 708
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.66/index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.67/assets/index-BYIve8M2.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.67/assets/index-CpYElXdn.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 645, 0, 0, 0, 6, 57, 708
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.67/index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.68/assets/index-BYIve8M2.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.68/assets/index-CpYElXdn.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 645, 0, 0, 0, 6, 57, 708
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.68/index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.69/assets/index-BYIve8M2.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.69/assets/index-DoShlj1R.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 645, 0, 0, 0, 6, 57, 708
